EVTNAME5002;스탠리 컵
tut_7a_5;무역 상품
tut_7a_6;화면 우측 상단의 사각형이 상품의 상세 정보를 표시하도록 어떻게 변경되었는지 눈여겨보세요.
tut_7a_6a;상단에는 시간이 지남에 따라 가격이 어떻게 변동되었는지 보여주는 가격 곡선이 있습니다.
REMOVE_tut_7a_6b;그 아래에는 자동화(Automate)와 국내 구매(Buy Internal)라는 두 개의 체크박스가 있습니다.\n자동화는 육군에 필요한 물품을 구매하도록 무역 주문을 자동으로 설정합니다.\n국내 구매는 무역 주문이 자국에서 생산된 품목만 구매하도록 강제합니다.
tut_7a_6c;여기서는 국가가 생산하는 양과 정부, 자국 내 생산자, 그리고 POP의 수요도 확인할 수 있습니다.\n이제 몇 가지 물품을 구매해야 합니다. 다음을 눌러 계속 진행하세요.
tut_7a_7;무역 설정
tut_7a_8;네덜란드가 위협적으로 보이니 나중을 위해 총기를 비축해야 합니다. 총기는 육군을 창설하고 보급하는 데 필요합니다.
REMOVE_tut_7a_8a;아래에 SELL 텍스트가 있는 아이콘과 그 옆의 슬라이더를 눈여겨보세요. 이는 슬라이더를 특정 비축량 수치로 당기면, 게임이 해당 수량에 도달할 때까지 무역 상품을 구매하려고 시도한다는 뜻입니다.
tut_7a_8b;반대로 BUY 위의 아이콘을 클릭하면 SELL로 변경되며, 설정한 수치에 비축량이 도달할 때까지 비축된 물품을 판매하게 됩니다. 지금은 물품을 구매하고자 하므로 BUY/SELL이 BUY로 설정되어 있는지 확인하고 슬라이더를 10 단위 정도로 당긴 후 무역 확인을 눌러 새로운 구매 주문을 확정하세요.
#tut_7a_10;공동 시장
#tut_7a_11;계속 진행하기 전에 시장에 대해 설명하겠습니다. Victoria 2에서 세계는 내부 공동 시장과 세계 시장으로 나뉩니다. 공동 시장은 자국 내에서 생산된 모든 것과 세력권에 편입된 국가에서 생산된 모든 것을 의미합니다. 정부나 국민이 물품을 구매할 때 먼저 공동 시장에서 구매를 시도한 다음 세계 시장에서 구매합니다. 공동 시장에서 판매되지 않은 모든 것은 모든 국가가 구매할 수 있도록 세계 시장에 올라갑니다. 우측 하단에서 공동 시장에서 무엇이 생산되는지 확인한 후 다음을 눌러 계속 진행하세요.
tut_7a_12;비축량
tut_7a_13;이제 비축량으로 시선을 돌려보세요. 여기서는 정부가 각 무역 상품을 얼마나 보관하고 있는지, 그리고 지난 하루 동안 이것이 어떻게 변했는지 확인할 수 있습니다. 또한 이 버튼을 주목하세요. 이것을 선택하면 공동 시장의 사람들이 당신의 비축량에서 물품을 구매할 수 있게 됩니다. 이는 전쟁 중 해외에서 물품을 구매할 수 없을 때 전략 물자를 비축하여 대비해 둔 경우 유용할 수 있습니다.
tut_7a_15;이제 며칠 동안 게임의 일시 정지를 해제하고 우리의 비축량이 소화기로 어떻게 채워지는지 눈여겨보세요.
######################################################################;
##### Diplomacy;
######################################################################;
tut_8a_1;외교
tut_8a_2;외교는 Victoria 2에서 세계를 제패하기 위한 가장 중요한 도구입니다. 이곳에서 동맹을 맺고 전쟁을 선포합니다. 소국들을 세력권으로 편입시키고 열강 중 당신의 위치를 주시할 수 있습니다.\n상단 바에 있는 외교 버튼을 클릭하세요.
tut_8a_3;외교 화면
tut_8a_3a;외교 화면입니다. 이곳에서 국가의 외교적 결정을 통제하고 다른 국가들을 주시할 수 있습니다.
tut_8a_3b;가장 먼저 해야 할 일은 북쪽의 경쟁국인 네덜란드를 상대로 조치를 취하는 것입니다. 하지만 네덜란드는 우리보다 조금 더 강하므로 동맹국이 필요합니다. 영국이 좋은 후보이니 좌측 하단의 국가 목록에서 그들을 찾아보세요. 목록 위의 필터 버튼을 사용하면 더 쉽게 찾을 수 있습니다.
tut_8a_4a;국가 정보
tut_8a_4b;이제 영국을 선택했습니다. 그들과 동맹을 맺기 전에 먼저 그들이 우리를 좋아하는지 알아야 합니다. 방금 클릭한 목록 항목의 우측에 있는 수치를 확인해 보세요. 수치가 다소 낮지만 충분할 수 있습니다. 이제 그들이 현재 다른 분쟁에 휘말려 있는지 확인해 보겠습니다. 화면 상단의 전쟁 표시 버튼을 클릭하세요.
tut_8a_5;국가 정보
tut_8a_6;이 화면의 우측 상단에서 현재 벌어지고 있는 모든 전쟁을 볼 수 있습니다. 옛 종주국인 멕시코를 상대로 투쟁하는 텍사스의 모습을 볼 수 있을 것입니다. 또한 우측 중앙에서 영국의 동맹국과 전쟁을 확인할 수 있으며, 그들의 전쟁 수행 능력에 대해 알려주는 일부 데이터도 확인할 수 있습니다.
REMOVE_tut_8a_7;영국과 동맹을 시도하려면 외교적 조치를 취해야 합니다. 외교적 조치에는 동맹 요청부터 전쟁 선포까지 다양한 것이 있습니다. 외교적 조치를 취하려면 외교 점수가 필요하며, 이 점수는 매달 누적됩니다. 상단 바의 외교 항목 아래를 보면, 동맹 결성 조치 비용과 정확히 일치하는 1점이 있음을 확인할 수 있습니다. 어서 동맹 결성 조치를 누른 후 '수락' 버튼을 눌러 영국에 동맹을 제안하세요.
tut_8a_8;전쟁 선포
tut_8a_9;이제 영국은 우리의 동맹국이 될 것입니다. 대개는 답변을 위해 조금 기다려야 하지만, 이번에는 외무부가 신속하게 대처했습니다. 이제 네덜란드에 대해 어떤 조치를 취해 봅시다. 목록에서 네덜란드를 선택하고 전쟁 선포 버튼을 클릭하세요.
tut_8a_10;전쟁 선포
tut_8a_11;전쟁을 선포할 때는 전쟁 목표를 설정해야 합니다. 이는 전쟁에 돌입하는 명시된 이유이며, 평화 협상에서는 전쟁 목표로 명시한 것만 요구할 수 있도록 제한됩니다. 전쟁이 우리에게 유리하게 진행되면 전쟁 목표를 더 추가할 수 있지만, 목표 달성에 실패하면 인구가 우리에게 분노할 것입니다.\n지금은 그저 네덜란드에 굴욕을 주고 싶을 뿐입니다. 이 전쟁 목표는 우리가 승리할 경우 그들의 위신을 조금 낮출 수 있음을 의미합니다. 어서 굴욕 주기 버튼을 누르세요.
tut_8a_12;전쟁 선포
tut_8a_13;전쟁 선포에는 비용이 따르며, 그 비용은 세계의 나머지 국가들이 우리를 어떻게 바라보느냐에 있습니다. 이를 악명이라고 부르며, 높은 악명을 초래하면 국가들이 우리의 호전적인 행보를 막기 위해 연합을 구성하는 등 여러 문제가 발생할 수 있습니다.
tut_8a_14;전쟁에는 보상도 따릅니다. 전쟁 목표 달성에 대한 보상(우리가 승리하면 네덜란드의 위신을 깎을 것이라는 점을 화면에서 볼 수 있음) 외에도 위신을 얻게 됩니다. 어떤 전쟁 목표를 선택하느냐에 따라 위신을 더 많이 혹은 더 적게 얻을 수 있습니다.
tut_8a_15;각 전쟁 목표에는 평화 비용도 존재하며, 이 비용이 높을수록 적군이 요구에 동의하게 만들려면 전쟁에서 더 많은 것을 달성해야 합니다.
tut_8a_16;이제 전쟁을 선포할 준비가 되었습니다. 전쟁 선포 대화창에서 확인을 누르세요.
######################################################################;
##### General;
######################################################################;
tutorial_chapter_military_basic;기초 군사 튜토리얼 종료,
tutorial_chapter_military_victoria;중급 군사 튜토리얼 종료.
tutorial_chapter_industry_basic;기초 생산 튜토리얼 종료
tutorial_chapter_industry_victoria;중급 생산 튜토리얼 종료
tutorial_chapter_budget_basic;기초 예산 튜토리얼 종료
REMOVE_tutorial_chapter_budget_victoria;중급 생산 튜토리얼 종료
tutorial_chapter_technology_basic;기초 기술 튜토리얼 종료
tutorial_chapter_technology_victoria;중급 기술 튜토리얼 종료
tutorial_chapter_politics_basic;기초 정치 튜토리얼 종료
tutorial_chapter_politics_victoria;중급 정치 튜토리얼 종료
tutorial_chapter_population_basic;기초 인구 튜토리얼 종료
tutorial_chapter_population_victoria;중급 인구 튜토리얼 종료
tutorial_chapter_trade_basic;초급 무역 튜토리얼 종료
tutorial_chapter_trade_victoria;중급 무역 튜토리얼 종료
tutorial_chapter_diplomacy_basic;초급 외교 튜토리얼 종료
tutorial_chapter_diplomacy_victoria;중급 외교 튜토리얼 종료
tutorial_chapter_end;어떻게 진행할지 선택하십시오.
tutorial_continue_basic;초급 $TYPE$
tutorial_continue_intermediary;중급 $TYPE$
tutorial_continue_advanced;고급 $TYPE$
tutorial_continue_end;메뉴로 돌아가기
LEDGER_HEADER_RANK;국가 순위
chapter_name_0;개요
chapter_name_1;육군과 해군
chapter_name_2;생산
chapter_name_3;예산
chapter_name_4;기술
chapter_name_5;정치
chapter_name_6;인구
chapter_name_7;무역
chapter_name_8;외교
######################################################################;######################################################################
##### Tutorial;##### Tutorial
######################################################################;######################################################################
FE_BASIC;초급
FE_MEDIUM;중급
FE_ADVANCED;고급
FE_START_ALL_CHAPTERS;처음부터 시작...
TUT_NEXT;다음
######################################################################;######################################################################
##### Miltary Medium;##### Miltary Medium
######################################################################;######################################################################
tut_1b_1;군사 - 중급
tut_1b_2;이 섹션에서는 기존 빅토리아 플레이어에게는 익숙할 수 있지만 다른 플레이어에게는 새로울 수 있는 빅토리아 2 군사 시스템의 몇 가지 개념을 살펴볼 것입니다.\n군사 화면에 들어가는 것으로 시작하겠습니다. 상단 표시줄에서 군사를 클릭하십시오.
tut_1b_3;군사 화면
tut_1b_4;이것은 군사 화면으로, 여기에서 전체 군대와 군사 지휘관을 주시할 수 있을 뿐만 아니라 새로운 병력을 모집하고 국가를 전쟁에 동원할 수 있습니다. \n빅토리아 2에서 육군이 어떻게 모집되는지 살펴보는 것으로 시작하겠습니다. 육군 창설 버튼을 클릭하십시오.
tut_1b_5;인력과 인구
tut_1b_6;빅토리아의 인력은 다른 패러독스 게임들과는 다소 다릅니다. 빅토리아에서는 모든 부대가 병사로 고용된 인구, 즉 병사 POP에서 모집됩니다.\n육군을 창설하려면 인구 중에 새로운 부대의 대열을 채울 수 있는 충분한 병사가 있어야 합니다. 목록에서 현재 모집할 수 있는 모든 부대를 볼 수 있으며, 이보다 더 많이 필요한 경우 예산 화면에서 군사 예산을 늘려 더 많은 사람들이 병사가 되도록 장려해야 합니다.\n 왈롱 보병을 클릭하십시오.
tut_1b_7;부대의 상품 비용
tut_1b_8;방금 클릭한 부대는 '왈롱 보병'입니다. 이는 왈롱 병사들로 구성된 정규 보병 부대임을 알려줍니다. 또한 부대 이름 아래에 브뤼셀이라는 이름이 나타나는 것에 주목하십시오. 이것은 병사들이 브뤼셀 프로빈스에 거주한다는 것을 의미합니다.
tut_1b_9;이제 부대 이름 왼쪽에 있는 아이콘과 숫자를 확인하십시오. 이것이 부대를 구입하는 데 필요한 상품입니다. 이 특정 부대에는 소화기 20개와 통조림 20개가 필요합니다. 이들은 국가 비축량에서 꺼내오거나, 비축량이 충분하지 않은 경우 세계 시장에서 구입하게 됩니다.
tut_1b_10;우리가 창설하려는 부대는 이제 화면 오른쪽의 생산 대기열에 있습니다. 이것을 클릭하여 창설을 취소할 수도 있지만 지금은 그대로 두고, 닫기 버튼을 클릭하여 계속 진행하십시오.
tut_1b_11;장군과 제독
tut_1b_12;전투에서 승리하려면 부대가 적절하게 지휘를 받아야 합니다. 장군(육군용) 또는 제독(해군용)을 모집하려면 지휘력 점수가 필요합니다.
tut_1b_13;지휘력 점수는 우리 인구 중 장교, 즉 장교 POP에 의해 생성됩니다. 병사가 필요할 때처럼 더 많은 장군이 필요하다면 예산 화면에서 군사 예산을 늘려야 합니다. 차이점은 병사는 인구 중 빈곤층에서 모집되는 반면, 장교는 부유층에서 모집된다는 것입니다.
tut_1b_14;장군 모집 버튼의 숫자에 주목하십시오. 이것은 현재 보유한 점수로 당장 모집할 수 있는 장군의 수입니다. 이 버튼을 클릭하십시오.
tut_1b_15;장군
tut_1b_16;이제 우리의 첫 장군을 얻었습니다. 보시다시피 그에게는 2개의 특성이 있으며, 이는 자신의 장단점을 규정합니다. 마우스를 올리면 육군에 어떤 영향을 미치는지 볼 수 있습니다. 나쁜 특성이 있다 해도 지휘관이 없는 것보다는 항상 낫습니다.
tut_1b_17;또한 귀하의 지휘관이 현재 어느 육군을 지휘하고 있는지도 볼 수 있습니다. 우리의 새로운 장군은 당연히 배치되지 않은 상태입니다.
tut_1b_18;해당 확인란을 선택된 상태로 두면 부대에 자동으로 배치하거나 지휘관을 자동으로 모집할 수 있습니다..
REMOVE_tut_1b_19;지금은 장군을 수동으로 배치할 것입니다. 군사 화면을 닫고 스파(Spa)에 있는 사단을 선택하십시오.
tut_1b_20;지휘관 배치
tut_1b_21;부대 화면에서 (지휘관 없음)이라고 표시된 텍스트를 클릭한 다음, 나타나는 목록에서 장군을 선택하여 지휘관을 배치하십시오.
######################################################################;
##### Production Medium;
######################################################################;
tut_2b_1;생산 - 중간 단계
tut_2b_2;튜토리얼의 이번 부분에서는 빅토리아 2의 기초적인 생산 개념에 대해 다룰 것입니다. 이 개념들은 기존 빅토리아 플레이어에게는 익숙할 것입니다.\n 먼저 가장 기본적인 자원 생산지인 RGO에 대한 이야기부터 시작하겠습니다. 브뤼셀 프로빈스를 클릭하여 프로빈스 화면을 여십시오.
tut_2b_3;RGO
tut_2b_4;특정 무역 상품은 자원 채취 작업장인 RGO에 의해 생산됩니다. 이것들은 기본적으로 농장이나 광산을 의미합니다. 프로빈스 화면 중앙에서 황 광산인 브뤼셀의 RGO 데이터를 확인할 수 있습니다.
tut_2b_5;산출량 - 이 아이콘들은 해당 RGO가 황을 생산함을 보여주며, 그 옆의 숫자는 생산량을 나타냅니다. 산출량 위에 마우스를 올리면 어떤 요소가 이에 영향을 미치는지 확인할 수 있습니다.
tut_2b_6;수입 - RGO에서 생산된 모든 상품은 시장에 출시됩니다. 상품이 팔리면 RGO는 수입을 창출합니다. 이 수입은 RGO를 소유한 귀족뿐만 아니라 노동자들에게 임금을 지불하는 데 사용됩니다.
tut_2b_7;직원 - RGO는 산출물을 생산하기 위해 노동자를 고용합니다. 농민은 농장에서 일하고 노동자는 광산에서 일합니다. 노동자가 많을수록 더 많이 생산하지만, 고용할 수 있는 노동자의 수에는 상한이 있습니다.
tut_2b_8;여러분은 RGO가 얼마나 생산할지에 대해 직접적으로 영향을 미칠 수 없습니다. 그러나 효율성을 높이는 새로운 기술을 발명하거나, 철도를 건설하거나, 세금 및 개혁을 활용하여 농업이나 광업의 매력도를 조절할 수는 있습니다.\n아이콘 위에 마우스를 올려 더 많은 데이터를 확인할 수 있으며, 완료되면 상단 바의 생산 버튼을 클릭하십시오.
tut_2b_9;공장
tut_2b_10;공장은 주에 건설되는 건물입니다. 이 화면에서는 현재 국가에서 운영 중인 공장을 볼 수 있습니다.
tut_2b_11;투입재 - 공장이 산출물을 생산하려면 투입재가 필요합니다. 이러한 투입재는 세계 시장에서 구매됩니다.
tut_2b_12;유지보수 - 일반적인 투입재 외에도 공장은 생산을 유지하기 위해 시멘트가 필요합니다. 공장이 필요한 시멘트를 모두 확보할 수 없다면 그 생산량은 감소할 것입니다.
tut_2b_13;공장들이 동일한 자원을 두고 경쟁하는 경우, 특정 공장의 우선순위를 설정할 수 있습니다. 여러 공장에서 철이 필요한 것으로 보이니, 강철 공장의 우선순위를 높여 자원을 우선적으로 공급받도록 하십시오.
tut_2b_14;공장 건설
tut_2b_16;공장 건설
tut_2b_17;이 화면에서는 건설할 수 있는 모든 공장을 확인할 수 있습니다.
tut_2b_18;메뉴에서 일반 의류 공장을 클릭하면 어떤 종류의 투입재가 필요한지 확인할 수 있습니다. 우리 국가에는 이미 직물 공장이 있으므로, 직물을 투입재로 사용하는 공장을 건설하면 지역 경제를 개선할 수 있습니다.
tut_2b_19;아래에서 공장 건설에 드는 비용을 확인할 수 있습니다. 공장을 건설하려면 투입재를 제공해야 하며, 건설을 클릭할 때 해당 상품이 없다면 세계 시장에서 자동으로 구매됩니다. 또한 투입재 비용이 있는데, 이는 공장이 생산을 시작하고 처음 며칠 동안 필요로 하는 투입재의 비용입니다.
tut_2b_20;이 화면에서 이용 가능한 실업자의 수도 확인할 수 있습니다. 실업자가 없더라도 공장을 건설할 수 있습니다. 다른 직업을 가진 노동자들이 공장 노동자로 바뀌기 시작할 것입니다.
tut_2b_21;어떤 공장을 건설해야 할지 알려주는 좋은 지표는 상품의 수요와 공급, 특히 투입재의 현지 공급과 산출물의 수요 여부입니다.\n 지금은 일반 의류 공장을 건설해 보겠습니다. 건설 버튼을 클릭하여 건설을 시작하십시오.
tut_2b_22;공장 확장
tut_2b_23;생산량을 늘리기 위해 새로운 공장을 지을 필요는 없으며, 기존 공장을 확장할 수도 있습니다. 공장 확장은 정치 체제에 따라 자본가나 플레이어가 수행할 수 있습니다. 공장 확장 비용은 새로운 공장을 짓는 것과 비슷하며, 공장 확장 버튼 위에 마우스를 올리면 확인할 수 있습니다.
tut_2b_24;우리 국가의 강철 공장을 확장해 보겠습니다. 강철 공장의 확장 버튼을 누르십시오.
tut_2b_25;공장 이익
tut_2b_26;공장이 생산한 모든 것은 세계 시장에 출시됩니다. 그런 다음 공장은 현재 가격과 판매된 양에 따라 대금을 받습니다. 공장은 다음 날 투입재를 구매하는 데 필요한 금액을 보관하며, 그 차액이 이익이 됩니다. 이 이익은 노동자(직공 및 사무원)와 소유자(자본가)에게 임금을 지불하는 데 사용됩니다. 플레이어는 공장의 이익에서 직접 돈을 받지 않고, 인구에게 세금을 부과하거나 상품에 관세를 부과하여 수입을 얻습니다.\n공장의 수익성을 주의 깊게 살펴보십시오. 이익이 나지 않는 공장은 노동자를 해고하여 실업을 유발할 것입니다.\n계속하려면 다음을 클릭하십시오.
######################################################################;
##### Budget Intermediary;
######################################################################;
tut_3b_1;예산 - 중간 단계
tut_3b_2;이번 부분에서는 다른 패러독스 게임들과 구별되는 빅토리아 2 게임의 예산 개념 중 일부를 살펴볼 것입니다. 먼저 예산 화면을 열어야 하니 실행해 주십시오.
tut_3b_3;인구 세금
tut_3b_4;빅토리아 2에서 세금은 인구의 수입을 바탕으로 징수됩니다. 국민이 수입을 얻을 때마다 여러분도 몫을 얻습니다. 인구는 다음과 같은 계층으로 나뉘어 있습니다:
tut_3b_5;하류층 - 노동자와 농민.
tut_3b_6;중산층 - 중산계급. 장인, 성직자 및 기타 교육받은 사람들.
tut_3b_7;상류층 - 상류계급. 귀족과 자본가.
tut_3b_8;각 계층 옆의 파이 차트는 해당 계층의 인구가 어떻게 지내고 있는지, 즉 일용품 욕구를 충족시키고 있는지를 보여줍니다. 붉은색이 많이 보인다면 세금을 낮춰 상황을 개선할 수 있습니다. 또한 특정 인구 아이콘 위에 마우스를 올려 그 그룹이 어떻게 지내고 있는지 확인할 수 있습니다. 계속하려면 다음을 클릭하십시오.
tut_3b_9;관세
tut_3b_10;관세는 국제 무역에 부과되는 특별한 세금 또는 보조금입니다. 관세 슬라이더를 중앙에서 오른쪽으로 끌어당기면 인구와 공장이 국내 시장 밖에서 구매하는 상품의 가격이 오릅니다. 중앙에서 왼쪽으로 끌어당기면 반대로 같은 종류의 거래에 보조금을 지급하게 됩니다.
tut_3b_11;관세는 수입을 창출할 뿐만 아니라 외국 생산자보다 국내 생산자를 우대하는 이중적인 기능을 합니다.
tut_3b_12;계속하려면 다음을 클릭하십시오.
tut_3b_13;기본 지출 유형
tut_3b_14;이제 기본 지출 유형과 그 역할에 대해 살펴보겠습니다:
tut_3b_15;산업 보조금 - 이익을 내지 못하는 공장에 자금을 지원하는 지출입니다. 생산 화면에서 활성화할 수 있습니다.
tut_3b_16;국가 비축량 - 무역 화면에서 설정된 거래를 위한 일일 비용입니다. 바로 아래에 보이는 2개의 숫자는 군대와 해외 영토를 유지하는 데 사용되는 상품의 가치입니다. 소진된 상품을 구매해야 하기 때문에 이러한 수치들은 국가 비축량 지출에 간접적인 영향만 미칩니다. 이 설정은 수동으로 할 수도 있고, 공장을 건설하거나 보급이 필요한 군대가 있을 경우 자동으로 이루어질 수도 있습니다.
tut_3b_17;교육 - 이 돈은 인구를 교육하고 인구의 의식을 낮추는 성직자에게 지불됩니다. 슬라이더를 높게 설정할수록 성직자가 되는 것이 더 매력적으로 변합니다.
tut_3b_18;행정 - 이 돈은 관료에게 지급됩니다. 관료는 사회 개혁을 실행하고 세금을 징수합니다. 주에 관료가 많을수록 세금 징수가 더 효율적이 됩니다. 슬라이더 위에서 평균 행정 효율을 볼 수 있습니다.
tut_3b_19;사회 지출 - 이 돈은 실업 보조금 및 연금과 같은 사회 개혁에 자금을 지원하는 데 사용됩니다.
tut_3b_20;군사 지출 - 이 돈은 병사와 장교의 급여로 사용됩니다.
tut_3b_21;이 모든 지출은 다양한 종류의 시민들에게 직접 전달됩니다. 너무 적게 지불하면 사람들이 새로운 일자리를 찾기 시작할 수 있으며, 더 많이 지불하면 다른 사람들이 해당 계층으로 승격하여 비용이 증가하게 됩니다. 각 부문에서 최적의 고용자 수를 확보하기 위해 지출의 균형을 맞추는 것은 당신의 몫입니다.\n계속하려면 다음을 클릭하십시오.
tut_3b_22;외교 수지
tut_3b_23;돈은 또한 국제 관계를 통해 정부 예산으로 들어오고 나갈 수 있습니다. 여기에는 우리가 우방국에 지급하거나 받는 전쟁 보조금이나, 전쟁 배상금이 포함될 수 있습니다.\n계속하려면 다음을 클릭하십시오.
######################################################################;
##### Technology Intermediary;
######################################################################;
tut_4b_1;기술 - 중간 단계
tut_4b_2;이 부분에서는 연구가 어떻게 이루어지고 그것이 국가에 어떤 영향을 미치는지에 관한 몇 가지 개념을 설명합니다.\n상단 바에서 기술 버튼을 클릭하여 기술 화면으로 다시 들어가는 것으로 시작하겠습니다.
tut_4b_3;연구 점수 생성
tut_4b_4;연구하는 각 기술에는 연구 점수 비용이 필요합니다. 이는 기술이 완성되기 전에 생성해야 하는 연구 점수의 양입니다. 기술을 클릭하면 정보 창의 상단에서 이 비용을 볼 수 있습니다.\n계속하려면 다음을 클릭하십시오.
tut_4b_5;연구 점수 생성
tut_4b_6;연구 점수는 인구, 특히 성직자와 사무원에 의해 생성됩니다. 이들이 생성하는 연구 점수의 양은 문해율의 영향을 받습니다. 또한 연구 점수는 기술 발전뿐만 아니라 국가의 다원성에도 영향을 받습니다. 잠시 시간을 내어 상단 바의 기술 버튼에 마우스를 올리고 벨기에가 생성하는 연구 점수가 얼마인지 확인해 보십시오. 다음은 기술의 효과에 대해 이야기하겠습니다. 육군 탭 아래의 전략적 기동성(Strategic Mobility) 기술을 클릭하십시오.
tut_4b_7;기술 효과 및 발명
tut_4b_8;기술을 연구하면 즉각적인 효과와 발명이라는 두 가지 효과를 얻습니다. 정보 화면을 보면 전략적 기동성이 요새 레벨, 육군 정찰, 육군 보급품 소비에 영향을 미친다는 것을 알 수 있으며, 이러한 효과는 기술이 연구될 때 즉각적으로 나타납니다.
tut_4b_9;발명 - 기술 옆에 있는 전구에 주목하십시오. 이것은 발명을 나타냅니다. 마우스를 그 위에 올리면 그 효과를 볼 수 있습니다. 발명의 효과는 즉각적이지 않으며, 해당 기술을 연구한 후 무작위로 발동될 가능성이 있습니다. 전구의 색상은 기술의 발동 여부를 알려줍니다. 회색은 발동할 수 없음을, 노란색은 발동할 수 있음을, 녹색은 이미 발동했음을 의미합니다.
tut_4b_10;시간을 내어 여러 기술이 어떤 발명을 가지고 있는지 확인한 후, 다음을 클릭하십시오.
######################################################################;
##### Politics - Medium;
######################################################################;
tut_5b_1;정치
tut_5b_2;이 장에서는 빅토리아 정치 시스템의 몇 가지 기본 개념에 대해 설명할 것입니다. 상단 바에서 정치 버튼을 클릭하는 것으로 시작하십시오.
tut_5b_3;집권당
tut_5b_4;여기에서 어느 정당이 벨기에를 통치하고 있는지 볼 수 있으며, 현재는 가톨릭당(Katholieke Partij)입니다. 이들이 지지하는 정책은 국가의 행동 방식과 어떤 정책을 제정할 수 있는지에 큰 영향을 미칩니다. 정당 이름 아래에서 현재 정책을 볼 수 있습니다. 예를 들어 국민당(Nationalists)은 국가자본주의를 실행하며, 이것의 효과 중 하나는 다른 체제에서는 자본가만 공장을 건설할 수 있는 반면 플레이어가 수동으로 공장을 건설할 수 있다는 것입니다. 정책의 또 다른 중요한 효과는 예산 슬라이더에 제한을 두는 것입니다. 예를 들어 국가자본주의 정당은 특정 수준 이하의 세금을 허용하지 않습니다. 정부에 대해 더 자세히 알아보려면 다음을 클릭하십시오.
tut_5b_5;정부 형태
tut_5b_6;현재의 집권당이 마음에 들지 않는다면, 현재 정부 형태가 이에 대해 조치를 취할 수 있는 능력에 큰 영향을 미칩니다. 또한 정부는 어떤 종류의 이념이 권력을 잡을 수 있는지도 영향을 미칩니다. 예를 들어, 현재 벨기에의 정부 형태는 국왕 폐하의 정부(HM's Government)입니다. 이 체제에서는 선거가 있지만, 플레이어는 해당 정당 지지자들의 투쟁성 증가를 대가로 선거 결과를 무시하고 다른 정당을 선택할 수 있습니다.\n정부 형태는 제정된 정치 개혁의 기능이며, 플레이어는 정부 형태를 직접 변경할 수 없습니다. 예를 들어, 선거권이 폐지되면 어떠한 민주적 형태의 정부도 지속될 수 없습니다. 계속하려면 다음을 클릭하십시오.
tut_5b_7;선거
tut_5b_8;국왕 폐하의 정부나 민주정과 같이 특정 정부 형태에서는 집권당이 선거를 통해 선출됩니다. 민주 정부에서는 일정한 간격으로 선거를 치러야 하지만, '선거 개최' 버튼을 클릭하여 조기에 시작할 수도 있습니다.\n선거가 시작되면 선거 캠페인이 시작되며, 캠페인 기간 동안 발생하는 사건(예: 스캔들이나 열정적인 연설)이 선거 결과를 바꿀 수 있습니다. 캠페인이 끝나면 유권자들은 자신이 중요하게 생각하는 쟁점을 바탕으로 어느 정당이 통치해야 할지 결정합니다. 벨기에의 경우 부유층만이 투표권을 가졌던 것처럼 유권자가 반드시 전체 국민인 것은 아님에 유의하십시오. 계속하려면 다음을 클릭하십시오.
tut_5b_9;정치 개혁
tut_5b_10;정치 개혁은 국가의 정치 시스템 작동 방식과 사람들의 정치적 행동 방식에 영향을 미칩니다. 예를 들어, 선거권과 투표 시스템은 누가 투표권을 얻고 어떻게 표를 세는지 영향을 미치며, 언론권은 식자층 인구의 정치 변화에 영향을 미칩니다. 정치 개혁을 제정하는 이유는 대개 국민이 요구하기 때문이지만, 국가의 방향을 결정하는 데 더 큰 자유를 원하기 때문일 수도 있습니다. 이제 사회 개혁으로 넘어가겠습니다. 계속하려면 다음을 클릭하십시오.
tut_5b_11;사회 개혁
tut_5b_12;사회 개혁은 인구의 복지에 영향을 미칩니다. 특정 사회 개혁은 최대 근로 시간과 같이 산업의 생산성에 영향을 미치는 반면, 다른 개혁은 국가의 돈을 특정 계층의 사람들에게 전달합니다. 일부 사회 개혁은 매우 유익할 수 있으나, 개혁을 관리하면 관료제 유지 비용이 증가한다는 점에 주의하십시오.
tut_5b_13;디시전
tut_5b_14;정치 화면의 우측 하단에서 정치적 디시전을 찾을 수 있습니다. 이는 학술 기관 변경, 파나마 운하 건설, 치하의 독일 통일과 같이 국가를 위해 내릴 수 있는 중요한 선택입니다. 물음표에 마우스를 올리면 디시전을 실행하기 위한 선행 조건을 확인할 수 있고, 체크 표시(✔)에 마우스를 올리면 그 효과를 볼 수 있습니다. 체크 표시가 회색으로 비활성화되어 있다면 선행 조건을 충족하지 않아 디시전을 실행할 수 없음을 의미합니다. 계속하려면 다음을 클릭하십시오.
tut_5b_15;반란군 파벌
tut_5b_16;마지막으로 국민의 고통을 무시했을 때 나타나는 궁극적인 결과인 반란군 파벌이 있습니다. 인구의 투쟁성이 상승함에 따라 사람들은 반란군 파벌 합류를 고려하게 되며, 이 경우 본 화면에 표시됩니다. 반란군 파벌은 비슷한 대의를 가진 불만 품은 사람들을 조직원으로 삼습니다. 벨기에에는 반동주의 파벌이 있는 것을 볼 수 있습니다. 그 이름 오른쪽에서 세 가지 수치를 확인할 수 있습니다. 수치는 다음과 같습니다:
tut_5b_17;조직원 수 - 파벌을 지지하는 사람들의 수입니다.
tut_5b_18;조직력 - 파벌의 내부적인 힘을 나타내는 백분율입니다. 만약 불만을 품은 사람들이 많은 돈을 벌게 되면 이 수치가 증가합니다.
