support_for_blank;$text$ 지지
trade_centre_trade_routes_profit;무역로에서 얻는 이익: ?Y$val$
trade_centre_money;자금 비축: ?Y$val$
administration_tile;현지 행정
market_tile;현지 시장
alice_sort_pops;종족
alice_sort_states;지역
alice_topbar_avg_literacy_in_states;비식민지 인구 ?Y$x$?W 의 평균 ?Y문해율?W
employment_type_guild_education;고용 유형: ?Y길드 교육?W
employment_type_basic_education;고용 유형: ?Y기초 교육?W
employment_type_no_education;고용 유형: ?Y무교육?W
pop_literacy_spending; 인구 교육 예산 ?Y$val$?W.
pop_literacy_spending_required;최대 교육 지출: ?Y$val$?W.
pop_literacy_spending_public;?Y$val$?W 이 공교육 예산에서 지불됩니다.
pop_literacy_spending_ratio;충족도: ?Y$x$?W.
pop_literacy_spending_result_success;?Y$x$?W 이 ?Y$y$?W 보다 높으면, 문해율이 ?Y$val$?W 상승합니다
pop_literacy_spending_result_failure;?Y$x$?W 이 ?Y$y$?W 보다 낮으면, 문해율이 ?Y$val$?W 하락합니다
pop_budget_explanation_header;인구는 ?Y$val$?W 의 사적 부를 축적했습니다.
pop_budget_explanation_life_needs;인구 생필품 예산 ?Y$x$?W(예상치 ?Y$y$?W 초과). 비율: ?Y$val$?W
pop_budget_explanation_subsistence;또한, 인구는 ?Y$x$?W 의 추가 상품을 찾습니다. 총 충족도: ?Y$y$?W
pop_budget_explanation_everyday_needs;인구 일상용품 예산 ?Y$x$?W(예상치 ?Y$y$?W 초과). 비율: ?Y$val$?W
pop_budget_explanation_luxury_needs;인구 사치품 예산 ?Y$x$?W(예상치 ?Y$y$?W 초과). 비율: ?Y$val$?W
pop_budget_explanation_education;인구 교육 수요 예산 ?Y$x$?W. 교육 툴팁을 참고하십시오.
pop_budget_explanation_investments;인구 투자 예산 ?Y$x$?W.
pop_budget_explanation_banks;인구가 국영 은행에 ?Y$x$?W 예치합니다.
factory_money_flow_sum;이윤(수입에서 지출을 뺀 값) 예상치 ?Y$value$?W
factory_money_flow_sales;판매 수입 예상치 ?G$value$?W
factory_money_flow_primary_inputs;투입 비용 예상치 ?R$value$?W
factory_money_flow_secondary_inputs;투입 효율 비용 예상치 ?R$value$?W
factory_money_flow_expansion;공장 확장 비용 예상치 ?R$value$?W
factory_money_flow_maintenance;공장 유지비 예상치 ?R$value$?W
factory_money_flow_wages;임금 예상치 ?R$value$?W
factory_expansion_rate;우리는 공장이 ?Y$value$?W 명의 추가 노동자로 확장될 것으로 예상합니다
factory_hiring_rate_unqualified;우리는 공장이 ?G고용?W을 더 시도하여 ?Y$value$?W 명의 ?Y비숙련 노동자?W를 늘릴 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_hiring_rate_primary;우리는 공장이 ?G더 많이 고용?W하여 ?Y$value$?W 명의 ?Y숙련 노동자?W를 늘릴 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_hiring_rate_secondary;우리는 공장이 ?G더 많이 고용?W하여 ?Y$value$?W 명의 ?Y관리자와 사무직?W을 늘릴 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_firing_rate_unqualified;우리는 공장이 ?R해고?W를 시도하여 ?Y$value$?W 명의 ?Y비숙련 노동자?W를 줄일 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_firing_rate_primary;우리는 공장이 ?R해고?W를 시도하여 ?Y$value$?W 명의 ?Y숙련 노동자?W를 줄일 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_firing_rate_secondary;우리는 공장이 ?R해고?W를 시도하여 ?Y$value$?W 명의 ?Y관리자와 사무직?W을 줄일 것으로 예상합니다. (현재 목표: ?Y$x$?W)
factory_hired_unqualified;공장은 단순 수작업을 처리하기 위해 ?Y$value$?W 명의 ?Y비숙련 노동자?W를 고용했습니다. ?Y비숙련 노동자?W 한 명은 ?Y숙련 노동자?W 생산량의 ?R$x$?W만 제공합니다.
factory_hired_primary;공장은 ?Y$value$?W 명의 ?Y숙련 노동자?W를 고용했습니다.
factory_hired_secondary;공장은 ?Y$value$?W 명의 ?Y관리자와 사무직?W을 고용했습니다. 이들은 공장 생산량에 ?G$x$?W 배율을 부여합니다.
factory_throughput_explanation;처리량은 공장의 원초적 효율을 측정하는 지표입니다. 이는 ?G제품 단위?W로 측정됩니다. 처리량은 투입 소비와 제품 생산을 좌우합니다. 처리량의 유일한 원천은 ?G고용 단위?W이며, 이는 ?Y비숙련 노동자?W와 ?Y숙련 노동자?W가 생산합니다. 첨단 기술은 각 노동자의 ?G제품 단위?W 생산량을 늘릴 수 있습니다. 현재 처리량 보정치: ?G$val$?W. 따라서 현재 ?Y$y$?W 고용 단위는 ?Y$x$?W(?Y$y$?W의 ?G$val$?W) 제품 단위를 생산합니다. 근본적으로 처리량 증가는 자본가가 같은 임금으로 더 적은 노동자를 고용하게 만듭니다.
factory_throughput_base;Project Alice에서는 공장이 오직 현지 시장에서만 상품을 얻을 수 있습니다. 이는 게임 초반에 일부 상품을 구하기 어렵다는 뜻입니다. 이를 부분적으로 보상하기 위해 처리량에 ?G$val$?W 기본 배율이 있습니다.
factory_throughput_modifiers;현재 기술과 기타 보정이 제공하는 처리량 배율: ?G$val$?W.
factory_input_multiplier_explanation;투입 배율은 체감수익의 영향을 받지 않기 때문에 가장 강력한 산업 관련 배율입니다. 오히려 더 많이 쌓을수록 더 강해집니다. 현재 배율: ?G$val$?W.
factory_input_multiplier_competition;현지 자본가들 간의 경쟁은 공장이 효율을 높여 필요한 투입만 소비하도록 장려합니다: ?G$val$?W.
factory_input_multiplier_scale; 작은 공장은 살아남기 위해 린 생산과 낭비 회피가 필요합니다. 따라서 현재 공장 배율: ?G$val$?W.
factory_input_multiplier_specialisation;민간 및 국가 기관의 과학, 정치, 법률 우선순위가 일치하여 이 산업에 투입 배율을 제공합니다: ?G$val$?W.
factory_input_multiplier_modifiers;각종 기술과 발명으로 이 공장은 추가 투입 배율 ?G$val$?W의 혜택을 받습니다.
factory_output_multiplier_explanation;산출 배율은 강력한 배율이지만 체감수익의 영향을 받습니다. 현재 공장 산출 배율: ?G$val$?W.
factory_output_multiplier_lack_of_inputs;투입 부족으로 인해 이 공장의 산출은 ?R$val$?W 배가 됩니다.
factory_output_multiplier_efficiency_inputs;최대 출력으로 생산하려면 공장은 특수한 투입 효율 자원을 소비해야 합니다. 현재는 이를 할 수 없어 ?R$val$?W 페널티 배율을 받습니다.
factory_output_multiplier_secondary_workers;고용된 ?Y관리자와 사무직?W은 공장에 ?G$val$?W 산출 배율을 제공합니다.
factory_output_multiplier_modifiers;각종 기술과 발명은 추가 산출 배율 ?G$val$?W을 제공합니다.
giving_modifier;이것은 다음 보정치를 제공합니다:
religion_nation_modifier;다수는 자신을 ?Y$NAME$?!라고 칭합니다
when;시기:
alice_ship_in_supply_range;?G보급 범위 내 선박?W, 가장 가까운 항구: ?O$x$?W
alice_ship_not_in_supply_range;?R보급 범위 밖 선박?W, 가장 가까운 항구: ?O$x$?W
alice_supply_range_distance;가장 가까운 항구까지 거리 ?O$x$?W/?O$y$?W 사용
alice_supply_range_friendly_port;?G우호적인 항구?W
alice_supply_range_deep_waters;?R심해에 있음?W
alice_ship_supply_range_unreachable;?R해군은 어떤 항구에도 도달할 수 없음?W
ui_element_name;이름: ?Y$x$?!
ui_element_position;위치: X = ?Y$x$?! Y = ?Y$y$?!
ui_element_size;크기: X = ?Y$x$?! Y = ?Y$y$?!
rgo_tile_header;천연자원 ?Y$good$?W
alice_naval_noretreat;퇴각으로 인해 생존한 함선은 평균적으로 중심에 ?O$x$?W 더 가까워야 합니다
alice_str_name;병력: ?O$val$?W
alice_naval_retreat_condition_1;함선이 중심에 더 가까이 갈 수 있음
alice_naval_retreat_condition_2;아직 퇴각하지 않음
alice_naval_retreat_condition_3;보급 가능한 항구에 접근
alice_navalattackitem_4;$DEFENDER$로 구성된 적 함대 하나가 파괴될 것입니다.
alice_attackthem_4;우리는 $DEFENDER$ 함대를 공격하고 있으며 방어를 돌파하려 합니다.
alice_attackus_4;$ATTACKER$ 적대 세력이 발포했습니다.
commodity_consumption_header;인구 소비: 생필품/일상용품/사치품
commodity_consumed_by;소비됨
commodity_production_header;공장 생산 사슬: 투입/산출
national_modifiers;국가 보정치
modifier_min_land_upkeep;토지 최소 유지비
per_commodity;상품당
open_details;세부사항
rgo;RGO
province_prices;세계 프리미엄 %
gdp_per_sector;GDP
gdp_share;GDP 프리미엄 %
province_labor;노동자
province_artisan;장인
gdp_rgo;1차 산업:
gdp_factory;2차 산업(대규모):
gdp_artisans;2차 산업(수공업):
gdp_selected;선택한 주의 GDP
gdp_rest;국내 다른 주의 GDP
market_report;?Y$province$?W 현지 시장 수출 무역
market_prices_report;?Y$province$?W 현지 시장 가격
rgo_report;?Y$province$?W 자원 운영
trade_balance;수지
rgo_details_name;이름
rgo_efficiency_super_header;효율
rgo_efficiency_value;%
rgo_efficiency_cost;비용
local_price;현지
median_price;세계 평균가
ratio_to_median;%
change_price;변화
method_profit_margin;잠재 이윤율
ratio_to_median_price;프리미엄
move_to_siege;포위 공격(단축키: V)
move_to_siege_desc;군대는 현재 주를 완전히 점령했을 때만 다음 주로 이동합니다.
strategic_redeployment;전략적 재배치(단축키: B)
strategic_redeployment_desc;부대가 더 빠르게 이동할 수 있지만, 조직력이 0이 됩니다.
pursue_to_engage;추격 섬멸(단축키: N)
pursue_to_engage_desc;부대가 목표 주의 적군을 추격하여 공격합니다.
currently;（현재：?Y$x$?!）
call_ally_explain_6;세력권 지도자가 적의 전쟁에 참여하고 있지 않거나, 세력권 전쟁 제한이 꺼져 있습니다.
ask_access_explain_5;이 나라는 당신의 속국입니다.
cancel_given_access_explain_2;당신은 이 나라의 속국이 아닙니다.
revoke_trade_rights_explain_2;우리는 협정을 취소할 권리가 있습니다
free_trade_desc;상대가 동의하면, 우리는 무역 협정을 체결하여 양국 간의 모든 관세를 ?Y$x$?W년 동안 철폐합니다.
free_trade_explain_5;대상은 속국이 아니거나, 내 속국입니다.
free_trade_explain_6;우리는 같은 세력권 내에 있지 않습니다
free_trade_explain_7;대상은 어떤 세력권에도 속해 있지 않습니다.
free_trade_explain_8;$x$ 및 그 세력권과 속국은 $y$ 및 그 세력권과 속국과 ?G무역합니다?!.
embargo_explain_7;대상은 내 세력권 내에 있지 않습니다
war_explain_5;이 나라에 주둔군이 없습니다
war_explain_6;대상의 종주국에 주둔군이 없습니다
war_explain_7;대상과 동맹이 아닙니다
war_explain_8;대상의 종주국과 동맹이 아닙니다
war_explain_9;대상은 내 세력권 지도자가 아니며, 내 세력권 지도자와도 동맹이 아니고, 세력권 전쟁 제한이 켜져 있습니다.
war_explain_10;대상은 내 세력권 구성원이 아닙니다.
alice_truce_with_explain;?Y$WAR$?W：?Y$NATION$?W와 휴전 중. $DATE$까지 지속됩니다.
alice_declarewar_truce_with_explain;?Y$NATION$?W：?Y$TARGET$?W와 휴전 중. $DATE$까지 지속됩니다.
alice_command_units_condition_1;?Y$NATION$?W 는 내 속국입니다
alice_command_units_condition_2;당신과 대상은 전쟁 중입니다.
alice_command_units_condition_3;대상은 비플레이어입니다
alice_command_units_condition_4;싱글플레이 게임
free_trade_di;자유 무역 협정
free_trade_offer;$actor$가 자유 무역 협정을 제안했습니다. $years$년 동안 무관세로 무역할 수 있습니다.
alice_original_war_participant_not_in_war;?Y$NATION$?W 는 더 이상 참전국이 아닙니다
alice_original_war_participant_desc;?Y$NATION$?W 는 이 전쟁의 최초 $ACTOR$입니다.
alice_original_war_participant_desc_2;최초 공격측 또는 방어측과의 휴전만이 참전을 막을 수 있습니다.
alice_original_war_participant_notinvolved;?Y$NATION$?W ?R더 이상 참전하지 않음?W
pop_project;인구 계획
state_project;주 건설
delete_factory;공장 철거
trade_route_volume_profit_score;이익 점수: ?Y$val$?W(기초 변화율에 따라 결정) 총계:
trade_route_volume_profit_score_export;수출 점수: ?Y$val$?W. 수출 이익 ?Y$x$?W를 우리 수출 가격 ?Y$y$?W로 나눈 값
trade_route_volume_profit_score_import;수입 점수: ?Y$val$?W. (수입 이익 ?Y$x$?W를 상대 수출 가격 ?Y$y$?W로 나눈 값)을 뺌
trade_route_volume_base_change;기초 변화 예상: ?Y$val$?W(이익 점수 × 확장 배수)
trade_route_volume_decay;감쇠: ?Y$val$?W(무역량이 합리적 범위를 벗어나는 것을 방지하고, 저이익 노선의 무역량을 점차 줄입니다.)
export;수출액
import;수입액
total_volume;총 무역액
embargo;금수 조치
alice_toggle_administration;행정 수도 설립
trade_route_volume_expansion_multiplier;확장 배수: ?Y$val$?W(수출 시장에서 상품을 실제로 확보하는 상황에 따라 결정)
trade_route_volume_final_change;변화 예상: ?Y$val$
alice_production_name_sort_tip_province;?Y좌클릭?W 으로 주 이름순 정렬
alice_production_name_sort_tip_state;?YShift+좌클릭?W 으로 지역 이름순 정렬
status_quo;현상 유지
alice_gamerules_btn_text;게임 규칙
alice_gamerules_change_chat_msg;호스트가 게임 규칙 "$x$"을(를) "$y$"(으)로 변경했습니다!
alice_gamerules_nothost;호스트만 게임 규칙을 변경할 수 있습니다.
alice_gamerule_allow_sphereling_declare_war_on_spherelord;세력권 구성원의 지도자 선전포고 허용
alice_gamerule_allow_sphereling_declare_war_on_spherelord_desc;세력권 구성원이 그 지도자와 동맹국 또는 다른 구성원에게 선전포고할 수 있도록 설정하며, 지도자가 속한 진영을 상대로 한 전쟁 참가에도 영향을 줍니다.
alice_gamerule_allow_sphereling_declare_war_on_spherelord_opt_no;아니오
alice_gamerule_allow_sphereling_declare_war_on_spherelord_opt_yes;예
gamerule_option_is;게임 규칙 ?Y$x$?W 옵션
label_gdp_capita_top;천 명당 평균 GDP
label_gdp_top;각 주 GDP 순위
label_production_top;상품 생산 순위
label_consumption_top;상품 소비 순위
consumption;소비
import;수입
export;수출
gva;총부가가치
factory_refit;공장 개수
factory_tier;등급: ?Y$x$?W
alice_gamerule_allow_partial_retreat;분할 후퇴
alice_gamerule_allow_partial_retreat_desc;전투 중 한 번에 한 유닛씩 후퇴하도록 설정하며, “순환 후퇴”라고도 합니다.
alice_gamerule_allow_partial_retreat_opt_disabled;분할 후퇴 불가
alice_gamerule_allow_partial_retreat_opt_enabled;분할 후퇴 허용
alice_gamerule_fog_of_war;전장의 안개
alice_gamerule_fog_of_war_desc;중립 또는 적대 주와 부대의 정보를 가리도록 전장의 안개를 설정합니다.
alice_gamerule_fog_of_war_opt_disabled;전장의 안개 꺼짐
alice_gamerule_fog_of_war_opt_enabled;전장의 안개 켜짐
alice_gamerule_auto_concession_peace;자동 무조건 항복 수락
alice_gamerule_auto_concession_peace_desc;전쟁 중 한쪽이 모든 전쟁 목표를 달성하거나 전쟁 점수 100점에 도달하면 강제 평화가 체결되어 거부할 수 없도록 설정합니다.
alice_gamerule_auto_concession_peace_opt_cannot_reject;강제로 무조건 항복
alice_gamerule_auto_concession_peace_opt_can_reject;무조건 항복 거부 가능
